epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,390.276,0.67978,0.65774,1.11169,0.84014,0.48277,0.54726,0.26976,1.77407,1.99713,1.4638,2.23929e-05,2.23929e-05,2.23929e-05
78,397.596,0.87541,1.00482,1.18632,0.83353,0.48848,0.54411,0.26802,1.74016,2.01351,1.44896,2.17805e-05,2.17805e-05,2.17805e-05
79,404.735,0.5868,0.74746,1.08349,0.83353,0.48848,0.54411,0.26802,1.74016,2.01351,1.44896,2.11444e-05,2.11444e-05,2.11444e-05
80,411.797,0.69903,0.72993,1.16025,0.83353,0.48848,0.54411,0.26802,1.74016,2.01351,1.44896,2.04848e-05,2.04848e-05,2.04848e-05
81,418.77,0.51163,0.50287,0.97395,0.84216,0.48037,0.53431,0.26591,1.77145,2.0481,1.47378,1.98016e-05,1.98016e-05,1.98016e-05
82,426.118,0.80922,0.66896,1.14398,0.84216,0.48037,0.53431,0.26591,1.77145,2.0481,1.47378,1.90949e-05,1.90949e-05,1.90949e-05
83,432.112,0.76731,0.82161,1.19739,0.84216,0.48037,0.53431,0.26591,1.77145,2.0481,1.47378,1.83646e-05,1.83646e-05,1.83646e-05
84,439.18,0.78364,0.56801,1.20457,0.84683,0.47793,0.54019,0.26651,1.8255,2.07321,1.50152,1.76107e-05,1.76107e-05,1.76107e-05
85,446.191,0.56912,0.73298,1.10894,0.84683,0.47793,0.54019,0.26651,1.8255,2.07321,1.50152,1.68333e-05,1.68333e-05,1.68333e-05
86,452.624,0.7355,0.66468,1.09991,0.84683,0.47793,0.54019,0.26651,1.8255,2.07321,1.50152,1.60323e-05,1.60323e-05,1.60323e-05
87,459.455,0.75123,0.78855,1.05117,0.84683,0.47793,0.54019,0.26651,1.8255,2.07321,1.50152,1.52077e-05,1.52077e-05,1.52077e-05
88,467.089,0.79161,0.86462,1.38069,0.83901,0.48398,0.53298,0.26744,1.83377,2.06836,1.50305,1.43596e-05,1.43596e-05,1.43596e-05
