epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,106.343,0.99729,1.52718,1.27173,0.70066,0.67247,0.85551,0.61082,1.67146,1.30979,1.37936,2.40837e-05,2.40837e-05,2.40837e-05
30,109.971,1.26559,2.34972,1.5981,0.70066,0.67247,0.85551,0.61082,1.67146,1.30979,1.37936,2.46022e-05,2.46022e-05,2.46022e-05
31,113.557,0.97959,1.43342,1.29405,0.6919,0.66667,0.85204,0.60885,1.68184,1.34653,1.38524,2.50971e-05,2.50971e-05,2.50971e-05
32,117.013,0.81014,1.26026,1.21396,0.6919,0.66667,0.85204,0.60885,1.68184,1.34653,1.38524,2.55685e-05,2.55685e-05,2.55685e-05
33,120.589,0.78131,1.3187,1.34243,0.67237,0.68913,0.85241,0.60751,1.66736,1.37789,1.38133,2.60163e-05,2.60163e-05,2.60163e-05
34,124.524,1.05737,1.25153,1.31048,0.67237,0.68913,0.85241,0.60751,1.66736,1.37789,1.38133,2.64405e-05,2.64405e-05,2.64405e-05
35,128.489,0.8871,2.1651,1.30325,0.66427,0.7,0.85262,0.59109,1.68226,1.41232,1.38943,2.68412e-05,2.68412e-05,2.68412e-05
36,131.96,0.96212,1.47741,1.20113,0.66427,0.7,0.85262,0.59109,1.68226,1.41232,1.38943,2.72183e-05,2.72183e-05,2.72183e-05
37,135.408,0.78381,1.11444,1.173,0.64697,0.7,0.85246,0.58363,1.65052,1.44775,1.37162,2.75718e-05,2.75718e-05,2.75718e-05
38,138.926,0.45775,0.70331,0.96921,0.64697,0.7,0.85246,0.58363,1.65052,1.44775,1.37162,2.79018e-05,2.79018e-05,2.79018e-05
39,142.379,0.64939,0.93238,1.02187,0.67392,0.69073,0.85257,0.56179,1.62586,1.47904,1.36617,2.82082e-05,2.82082e-05,2.82082e-05
40,145.853,0.80206,0.83749,1.16672,0.67392,0.69073,0.85257,0.56179,1.62586,1.47904,1.36617,2.84911e-05,2.84911e-05,2.84911e-05
41,149.874,0.75781,0.92627,1.06123,0.68197,0.66537,0.76929,0.48791,1.59635,1.48989,1.35829,2.87504e-05,2.87504e-05,2.87504e-05
42,153.857,0.88055,1.88323,1.27759,0.68197,0.66537,0.76929,0.48791,1.59635,1.48989,1.35829,2.89861e-05,2.89861e-05,2.89861e-05
43,157.555,0.84667,1.22095,1.22833,0.67827,0.65,0.76233,0.47306,1.623,1.52936,1.38617,2.91983e-05,2.91983e-05,2.91983e-05
44,161.663,1.07453,0.98547,1.45168,0.67827,0.65,0.76233,0.47306,1.623,1.52936,1.38617,2.93869e-05,2.93869e-05,2.93869e-05
45,165.124,0.61311,0.92529,0.9947,0.69151,0.65,0.76251,0.47229,1.61074,1.54717,1.38155,2.9552e-05,2.9552e-05,2.9552e-05
46,168.457,0.81978,0.99606,1.26957,0.69151,0.65,0.76251,0.47229,1.61074,1.54717,1.38155,2.96935e-05,2.96935e-05,2.96935e-05
47,171.581,0.88549,1.46291,1.36123,0.7362,0.65,0.7323,0.43907,1.62418,1.60228,1.38877,2.98114e-05,2.98114e-05,2.98114e-05
48,174.582,0.78782,1.63506,1.17239,0.7362,0.65,0.7323,0.43907,1.62418,1.60228,1.38877,2.99058e-05,2.99058e-05,2.99058e-05
49,179.806,0.67231,0.72156,1.24494,0.68393,0.6502,0.70529,0.41424,1.6256,1.62178,1.3898,2.99766e-05,2.99766e-05,2.99766e-05
50,184.196,0.80368,0.81104,1.29484,0.68393,0.6502,0.70529,0.41424,1.6256,1.62178,1.3898,3.00238e-05,3.00238e-05,3.00238e-05
51,187.373,0.85836,0.83931,1.15567,0.65906,0.67481,0.69821,0.40628,1.59333,1.63436,1.38244,3.00475e-05,3.00475e-05,3.00475e-05
52,190.251,0.97368,0.96715,1.34764,0.65906,0.67481,0.69821,0.40628,1.59333,1.63436,1.38244,3.00476e-05,3.00476e-05,3.00476e-05
53,193.713,0.64657,0.69977,1.17896,0.65906,0.67481,0.69821,0.40628,1.59333,1.63436,1.38244,3.00242e-05,3.00242e-05,3.00242e-05
54,197.143,0.78479,0.90253,1.23201,0.69112,0.67062,0.69636,0.4082,1.57799,1.67516,1.38298,2.99772e-05,2.99772e-05,2.99772e-05
55,200.201,0.80033,0.95297,1.12093,0.69112,0.67062,0.69636,0.4082,1.57799,1.67516,1.38298,2.99066e-05,2.99066e-05,2.99066e-05
56,203.219,1.09882,1.44355,1.58813,0.69112,0.67062,0.69636,0.4082,1.57799,1.67516,1.38298,2.98125e-05,2.98125e-05,2.98125e-05
57,206.321,0.94406,1.49898,1.37438,0.72278,0.50378,0.69284,0.38717,1.58641,1.70659,1.39312,2.96948e-05,2.96948e-05,2.96948e-05
58,209.586,0.86455,1.45436,1.26643,0.72278,0.50378,0.69284,0.38717,1.58641,1.70659,1.39312,2.95535e-05,2.95535e-05,2.95535e-05
59,212.356,0.78218,0.82753,1.15411,0.72278,0.50378,0.69284,0.38717,1.58641,1.70659,1.39312,2.93887e-05,2.93887e-05,2.93887e-05
60,215.137,0.99661,0.77639,1.54564,0.85594,0.47905,0.67795,0.37421,1.61168,1.7741,1.40952,2.92003e-05,2.92003e-05,2.92003e-05
61,217.924,0.63445,0.68038,1.06296,0.85594,0.47905,0.67795,0.37421,1.61168,1.7741,1.40952,2.89884e-05,2.89884e-05,2.89884e-05
62,220.643,0.70194,0.89364,1.04571,0.85594,0.47905,0.67795,0.37421,1.61168,1.7741,1.40952,2.87529e-05,2.87529e-05,2.87529e-05
63,223.5,0.77044,0.8231,1.15436,0.85561,0.47674,0.67797,0.3742,1.64295,1.85552,1.42562,2.84938e-05,2.84938e-05,2.84938e-05
64,226.218,0.62527,0.65266,1.06663,0.85561,0.47674,0.67797,0.3742,1.64295,1.85552,1.42562,2.82112e-05,2.82112e-05,2.82112e-05
65,229.206,0.66166,0.68564,1.21661,0.85561,0.47674,0.67797,0.3742,1.64295,1.85552,1.42562,2.7905e-05,2.7905e-05,2.7905e-05
66,232.946,0.6845,0.91744,1.0811,0.85192,0.47717,0.67714,0.37589,1.71029,1.91394,1.44913,2.75753e-05,2.75753e-05,2.75753e-05
67,236.37,0.73692,1.11042,1.1019,0.85192,0.47717,0.67714,0.37589,1.71029,1.91394,1.44913,2.7222e-05,2.7222e-05,2.7222e-05
68,239.701,1.04194,1.77547,1.406,0.85192,0.47717,0.67714,0.37589,1.71029,1.91394,1.44913,2.68451e-05,2.68451e-05,2.68451e-05
69,242.547,0.64123,1.10047,1.12463,0.84146,0.48622,0.56784,0.28834,1.65775,1.95423,1.42158,2.64447e-05,2.64447e-05,2.64447e-05
70,245.445,0.97879,0.86516,1.43021,0.84146,0.48622,0.56784,0.28834,1.65775,1.95423,1.42158,2.60207e-05,2.60207e-05,2.60207e-05
71,248.354,0.94809,1.28705,1.31568,0.84146,0.48622,0.56784,0.28834,1.65775,1.95423,1.42158,2.55731e-05,2.55731e-05,2.55731e-05
72,251.297,0.59467,0.63796,1.07495,0.8403,0.48543,0.54678,0.27608,1.72531,2.00133,1.44505,2.5102e-05,2.5102e-05,2.5102e-05
73,254.09,0.68847,0.90614,1.04422,0.8403,0.48543,0.54678,0.27608,1.72531,2.00133,1.44505,2.46073e-05,2.46073e-05,2.46073e-05
74,256.881,0.72143,0.59377,1.21802,0.8403,0.48543,0.54678,0.27608,1.72531,2.00133,1.44505,2.40891e-05,2.40891e-05,2.40891e-05
75,259.887,0.73001,0.55255,1.1407,0.84014,0.48277,0.54726,0.26976,1.77407,1.99713,1.4638,2.35472e-05,2.35472e-05,2.35472e-05
76,262.624,0.6346,0.73503,1.12808,0.84014,0.48277,0.54726,0.26976,1.77407,1.99713,1.4638,2.29819e-05,2.29819e-05,2.29819e-05
77,265.471,0.67978,0.65774,1.11169,0.84014,0.48277,0.54726,0.26976,1.77407,1.99713,1.4638,2.23929e-05,2.23929e-05,2.23929e-05
78,268.313,0.87541,1.00482,1.18632,0.83353,0.48848,0.54411,0.26802,1.74016,2.01351,1.44896,2.17805e-05,2.17805e-05,2.17805e-05
79,271.03,0.5868,0.74746,1.08349,0.83353,0.48848,0.54411,0.26802,1.74016,2.01351,1.44896,2.11444e-05,2.11444e-05,2.11444e-05
80,273.785,0.69903,0.72993,1.16025,0.83353,0.48848,0.54411,0.26802,1.74016,2.01351,1.44896,2.04848e-05,2.04848e-05,2.04848e-05
81,276.656,0.51163,0.50287,0.97395,0.84216,0.48037,0.53431,0.26591,1.77145,2.0481,1.47378,1.98016e-05,1.98016e-05,1.98016e-05
82,279.434,0.80922,0.66896,1.14398,0.84216,0.48037,0.53431,0.26591,1.77145,2.0481,1.47378,1.90949e-05,1.90949e-05,1.90949e-05
83,282.201,0.76731,0.82161,1.19739,0.84216,0.48037,0.53431,0.26591,1.77145,2.0481,1.47378,1.83646e-05,1.83646e-05,1.83646e-05
84,285.081,0.78364,0.56801,1.20457,0.84683,0.47793,0.54019,0.26651,1.8255,2.07321,1.50152,1.76107e-05,1.76107e-05,1.76107e-05
85,287.826,0.56912,0.73298,1.10894,0.84683,0.47793,0.54019,0.26651,1.8255,2.07321,1.50152,1.68333e-05,1.68333e-05,1.68333e-05
86,290.536,0.7355,0.66468,1.09991,0.84683,0.47793,0.54019,0.26651,1.8255,2.07321,1.50152,1.60323e-05,1.60323e-05,1.60323e-05
87,293.268,0.75123,0.78855,1.05117,0.84683,0.47793,0.54019,0.26651,1.8255,2.07321,1.50152,1.52077e-05,1.52077e-05,1.52077e-05
88,296.096,0.79161,0.86462,1.38069,0.83901,0.48398,0.53298,0.26744,1.83377,2.06836,1.50305,1.43596e-05,1.43596e-05,1.43596e-05
89,298.862,0.99904,0.93753,1.48641,0.83901,0.48398,0.53298,0.26744,1.83377,2.06836,1.50305,1.34879e-05,1.34879e-05,1.34879e-05
90,301.638,0.6533,0.63824,1.01237,0.83901,0.48398,0.53298,0.26744,1.83377,2.06836,1.50305,1.25927e-05,1.25927e-05,1.25927e-05
91,304.429,0.45964,0.51485,0.89126,0.83901,0.48398,0.53298,0.26744,1.83377,2.06836,1.50305,1.16739e-05,1.16739e-05,1.16739e-05
92,307.318,0.71251,0.70201,0.99431,0.83583,0.48517,0.53533,0.27779,1.82396,2.03203,1.48303,1.07315e-05,1.07315e-05,1.07315e-05
93,310.12,0.47552,0.45633,0.98472,0.83583,0.48517,0.53533,0.27779,1.82396,2.03203,1.48303,9.76562e-06,9.76562e-06,9.76562e-06
94,312.98,0.54032,0.43415,0.88349,0.83583,0.48517,0.53533,0.27779,1.82396,2.03203,1.48303,8.77613e-06,8.77613e-06,8.77613e-06
95,316.251,0.43491,0.45036,0.89816,0.83583,0.48517,0.53533,0.27779,1.82396,2.03203,1.48303,7.76308e-06,7.76308e-06,7.76308e-06
96,319.318,0.43943,0.50691,0.96098,0.83975,0.46675,0.55523,0.29875,1.74289,1.95546,1.43185,6.72648e-06,6.72648e-06,6.72648e-06
97,322.03,0.69269,0.60728,1.05288,0.83975,0.46675,0.55523,0.29875,1.74289,1.95546,1.43185,5.6663e-06,5.6663e-06,5.6663e-06
98,324.793,0.51627,0.48967,0.91065,0.83975,0.46675,0.55523,0.29875,1.74289,1.95546,1.43185,4.58257e-06,4.58257e-06,4.58257e-06
99,327.563,0.47522,0.45742,0.90976,0.83975,0.46675,0.55523,0.29875,1.74289,1.95546,1.43185,3.47528e-06,3.47528e-06,3.47528e-06
100,330.37,0.55719,0.49042,1.00187,0.56572,0.52033,0.60762,0.35122,1.69534,1.87041,1.40788,2.34442e-06,2.34442e-06,2.34442e-06
